Year Month Day Hour Min Sec DHT.hum DHT.temp lightvalue timer(min)
2015 8 28 16 25 17 39.40 23.80 789.00 1.00
2015 8 28 16 26 17 40.00 23.90 787.00 2.00
2015 8 28 16 27 17 40.20 23.80 784.00 3.00
2015 8 28 16 28 17 39.60 23.90 775.00 4.00
2015 8 28 16 29 17 39.80 23.90 779.00 5.01
2015 8 28 16 30 17 39.30 23.90 777.00 6.01
2015 8 28 16 31 17 39.20 23.90 778.00 7.01
2015 8 28 16 32 17 39.30 23.90 773.00 8.01
2015 8 28 16 33 17 39.20 23.90 778.00 9.01
2015 8 28 16 34 17 39.40 24.00 774.00 10.01
2015 8 28 16 35 17 38.90 23.90 773.00 11.01
2015 8 28 16 36 17 39.00 24.00 771.00 12.01
2015 8 28 16 37 17 39.20 24.00 772.00 13.01
2015 8 28 16 38 17 39.90 23.90 767.00 14.02
2015 8 28 16 39 17 39.30 24.00 768.00 15.02
2015 8 28 16 40 17 39.00 24.10 768.00 16.02
2015 8 28 16 41 17 38.90 24.00 765.00 17.02
2015 8 28 16 42 17 39.10 24.00 762.00 18.02
2015 8 28 16 43 17 39.30 24.10 755.00 19.02
2015 8 28 16 44 18 38.80 24.10 759.00 20.02
2015 8 28 16 45 18 39.20 24.10 757.00 21.02
2015 8 28 16 46 18 38.60 24.10 756.00 22.02
2015 8 28 16 47 18 38.90 24.10 754.00 23.02
2015 8 28 16 48 18 38.70 24.10 755.00 24.03
2015 8 28 16 49 18 38.60 24.10 755.00 25.03
2015 8 28 16 50 18 38.80 24.10 754.00 26.03
2015 8 28 16 51 18 39.00 24.10 736.00 27.03
2015 8 28 16 52 18 39.70 24.20 745.00 28.03
2015 8 28 16 53 18 39.20 24.30 745.00 29.03
2015 8 28 16 54 18 38.40 24.20 742.00 30.03
2015 8 28 16 55 18 38.00 24.30 741.00 31.03
2015 8 28 16 56 18 38.00 24.30 706.00 32.03
2015 8 28 16 57 18 37.90 24.30 738.00 33.03
2015 8 28 16 58 18 38.10 24.30 737.00 34.04
2015 8 28 17 33 16 40.00 23.60 896.00 1.00
2015 8 28 17 34 16 39.50 23.70 896.00 2.00
2015 8 28 17 35 16 39.40 23.70 896.00 3.00
2015 8 28 17 36 16 39.20 23.80 896.00 4.01
2015 8 28 17 37 16 39.20 23.90 896.00 5.01
2015 8 28 17 38 16 38.90 24.00 896.00 6.01
2015 8 28 17 39 16 39.40 24.00 897.00 7.01
