Year Month Day Hour Min Sec DHT.hum DHT.temp lightvalue timer(min)
2015 8 26 14 56 8 51.20 22.00 945.00 1.00
2015 8 26 14 57 8 50.30 22.10 942.00 2.00
2015 8 26 14 58 8 49.50 22.20 943.00 3.00
2015 8 26 14 59 8 52.40 22.20 943.00 4.00
2015 8 26 15 0 26 49.00 22.30 942.00 1.00
2015 8 26 15 1 26 48.90 22.30 944.00 2.00
2015 8 26 15 2 26 49.90 22.30 943.00 3.00
2015 8 26 15 3 27 48.80 22.30 944.00 4.00
2015 8 26 15 4 27 48.60 22.40 943.00 5.01
2015 8 26 15 5 27 48.80 22.40 943.00 6.01
2015 8 26 15 6 27 48.90 22.40 942.00 7.01
2015 8 26 15 7 27 48.60 22.40 942.00 8.01
2015 8 26 15 8 27 48.80 22.50 941.00 9.01
2015 8 26 15 9 27 48.60 22.50 944.00 10.01
2015 8 26 15 10 27 48.40 22.50 943.00 11.01
2015 8 26 15 11 27 48.00 22.50 943.00 12.01
2015 8 26 15 12 27 48.40 22.50 943.00 13.01
2015 8 26 15 13 27 48.10 22.50 942.00 14.01
2015 8 26 15 14 27 48.00 22.50 943.00 15.02
2015 8 26 15 15 27 48.10 22.50 943.00 16.02
2015 8 26 15 16 27 48.30 22.50 944.00 17.02
2015 8 26 15 17 27 47.80 22.50 944.00 18.02
2015 8 26 15 18 27 48.30 22.60 943.00 19.02
2015 8 26 15 19 27 47.60 22.60 942.00 20.02
2015 8 26 15 20 27 47.90 22.60 944.00 21.02
2015 8 26 15 21 27 47.40 22.60 943.00 22.02
2015 8 26 15 22 27 47.70 22.60 943.00 23.02
2015 8 26 15 23 27 47.70 22.70 943.00 24.02
2015 8 26 15 24 27 47.50 22.70 945.00 25.03
2015 8 26 15 25 27 47.40 22.70 944.00 26.03
2015 8 26 15 26 27 47.30 22.70 943.00 27.03
2015 8 26 15 27 27 47.80 22.70 943.00 28.03
2015 8 26 15 28 28 48.80 22.80 944.00 29.03
2015 8 26 15 29 28 47.20 22.80 945.00 30.03
2015 8 26 15 30 28 47.00 22.80 943.00 31.03
2015 8 26 15 31 28 47.10 22.80 943.00 32.03
2015 8 26 15 32 28 47.60 22.90 942.00 33.03
2015 8 26 15 33 28 46.90 22.90 943.00 34.03
2015 8 26 15 34 28 47.00 22.90 943.00 35.04
2015 8 26 15 35 28 46.60 22.90 943.00 36.04
2015 8 26 15 36 28 46.40 23.00 943.00 37.04
2015 8 26 15 37 28 47.40 23.00 942.00 38.04
2015 8 26 15 38 28 46.50 23.00 942.00 39.04
2015 8 26 15 39 28 46.80 23.00 942.00 40.04
2015 8 26 15 40 28 46.60 23.00 944.00 41.04
2015 8 26 15 41 28 46.50 23.00 943.00 42.04
2015 8 26 15 42 28 46.80 23.00 943.00 43.04
2015 8 26 15 43 28 46.60 23.00 942.00 44.05
2015 8 26 15 44 28 46.80 23.10 943.00 45.05
2015 8 26 15 45 28 47.20 23.10 943.00 46.05
2015 8 26 15 46 28 46.60 23.20 942.00 47.05
2015 8 26 15 47 28 48.40 23.20 943.00 48.05
2015 8 26 15 48 28 46.20 23.20 943.00 49.05
2015 8 26 15 49 28 46.40 23.20 944.00 50.05
2015 8 26 15 50 28 46.50 23.20 943.00 51.05
2015 8 26 15 51 28 46.40 23.30 940.00 52.05
2015 8 26 15 52 29 46.30 23.20 941.00 53.05

